OP_Name;Instance;Status;ColorTime;LabellingTime;UsingMIP;UsingPolyColors;Notes;TotalTime;Solution
OP(42,3,3);0;Solved;1.0737;0.3960;false;false;21;1.2815;(\infty_1, (16,1), \infty_2, (18,2), (0,1), (10,2), (3,1), (2,2), (4,1), (17,1), (22,1), (10,1), (7,1), (19,2), (22,2), (5,2), (12,2), (13,2), (9,2), (8,1), (14,1), (15,1), (8,2), (20,1), (12,1), (15,2), (17,2), (13,1), (9,1), (6,2), (21,2), (3,2), (18,1), (2,1), (11,2), (0,2), (6,1), (20,2), (5,1), (19,1), (21,1), (4,2)) ((1,1), (1,2), (14,2)) ((16,2), (7,2), (11,1))
OP(41,4,3);0;Solved;0.5369;0.1190;false;false;18;0.7937;(\infty_1, (14,1), \infty_2, (19,2), (4,1), (14,2), (18,1), (7,2), (8,1), (12,1), (19,1), (17,1), (5,1), (16,2), (21,2), (9,2), (11,2), (12,2), (20,2), (6,1), (11,1), (2,1), (4,2), (3,1), (13,1), (10,2), (13,2), (15,1), (9,1), (22,2), (18,2), (5,2), (10,1), (7,1), (0,2), (17,2), (0,1), (3,2), (20,1), (21,1), (2,2)) ((6,2), (22,1), (8,2), (15,2)) ((1,2), (16,1), (1,1))
OP(40,5,3);0;Solved;0.5369;0.2650;false;false;10;0.9300;(\infty_1, (13,1), \infty_2, (3,2), (2,1), (2,2), (4,1), (7,2), (15,1), (1,1), (14,1), (16,1), (22,1), (1,2), (19,2), (21,2), (12,2), (9,2), (17,2), (7,1), (13,2), (19,1), (0,2), (3,1), (18,1), (4,2), (8,2), (9,1), (10,1), (6,2), (16,2), (5,2), (17,1), (20,1), (11,2), (18,2), (0,1), (11,1), (6,1), (22,2)) ((12,1), (8,1), (15,2), (14,2), (20,2)) ((10,2), (21,1), (5,1))
OP(40,4,4);0;Solved;0.5369;1.3690;false;false;0;2.0436;(\infty_1, (1,1), \infty_2, (1,2), (9,1), (2,2), (4,1), (3,2), (7,1), (17,1), (15,1), (14,1), (18,1), (4,2), (12,2), (5,2), (6,2), (9,2), (11,2), (8,1), (14,2), (12,1), (17,2), (16,1), (19,1), (10,2), (0,2), (13,1), (22,1), (7,2), (16,2), (20,2), (0,1), (6,1), (13,2), (18,2), (5,1), (21,1), (10,1), (22,2)) ((3,1), (11,1), (15,2), (21,2)) ((8,2), (19,2), (2,1), (20,1))
OP(39,6,3);0;Solved;0.5369;0.6590;false;false;14;1.3406;(\infty_1, (7,1), \infty_2, (16,2), (9,1), (4,2), (3,1), (9,2), (13,1), (11,1), (18,1), (6,1), (5,1), (2,2), (5,2), (20,2), (7,2), (14,2), (10,2), (21,1), (12,1), (17,1), (22,2), (20,1), (14,1), (17,2), (6,2), (2,1), (15,1), (15,2), (1,2), (18,2), (8,1), (4,1), (12,2), (11,2), (0,1), (21,2), (19,2)) ((16,1), (1,1), (0,2), (10,1), (3,2), (8,2)) ((13,2), (19,1), (22,1))
OP(39,5,4);0;Solved;0.5369;0.0750;false;false;17;0.7453;(\infty_1, (0,1), \infty_2, (6,2), (18,1), (12,2), (17,1), (3,2), (21,1), (14,1), (9,1), (6,1), (4,1), (20,2), (9,2), (4,2), (21,2), (19,2), (22,2), (10,1), (22,1), (12,1), (8,2), (5,1), (1,1), (2,2), (10,2), (11,1), (20,1), (1,2), (14,2), (15,2), (8,1), (16,1), (7,2), (16,2), (19,1), (11,2), (18,2)) ((2,1), (3,1), (5,2), (15,1), (0,2)) ((17,2), (13,2), (13,1), (7,1))
OP(39,3,3,3);0;Solved;0.5369;0.5320;false;false;1;1.2088;(\infty_1, (2,1), \infty_2, (1,2), (3,1), (4,2), (4,1), (7,2), (5,1), (1,1), (6,1), (7,1), (17,1), (11,2), (21,2), (15,2), (18,2), (19,2), (10,2), (19,1), (10,1), (21,1), (9,2), (12,1), (15,1), (8,2), (6,2), (11,1), (9,1), (22,2), (17,2), (13,2), (8,1), (0,1), (12,2), (20,2), (14,1), (0,2), (16,2)) ((13,1), (20,1), (5,2)) ((18,1), (2,2), (14,2)) ((3,2), (16,1), (22,1))
OP(38,7,3);0;Solved;0.5369;0.2360;false;false;20;0.8936;(\infty_1, (21,1), \infty_2, (1,2), (7,1), (12,2), (0,1), (0,2), (2,1), (15,1), (20,1), (22,1), (18,1), (6,2), (13,2), (15,2), (21,2), (20,2), (9,2), (13,1), (5,1), (14,1), (7,2), (17,1), (1,1), (2,2), (16,2), (10,1), (11,1), (10,2), (14,2), (11,2), (16,1), (4,1), (8,2), (18,2), (3,1), (5,2)) ((9,1), (12,1), (6,1), (3,2), (19,1), (4,2), (19,2)) ((17,2), (22,2), (8,1))
OP(38,6,4);0;Solved;0.5369;0.1260;false;false;11;0.7778;(\infty_1, (14,1), \infty_2, (3,2), (21,1), (2,2), (22,1), (5,2), (4,1), (6,1), (11,1), (3,1), (10,1), (19,2), (15,2), (21,2), (18,2), (16,2), (0,2), (13,1), (12,1), (2,1), (1,2), (1,1), (7,1), (20,2), (11,2), (9,1), (20,1), (12,2), (22,2), (7,2), (0,1), (19,1), (17,2), (6,2), (15,1), (8,2)) ((5,1), (8,1), (17,1), (14,2), (18,1), (13,2)) ((10,2), (9,2), (4,2), (16,1))
OP(38,5,5);0;Solved;0.5369;0.6960;false;false;19;1.3446;(\infty_1, (2,1), \infty_2, (6,2), (3,1), (4,2), (4,1), (13,2), (17,1), (12,1), (6,1), (13,1), (14,1), (22,2), (10,2), (5,2), (18,2), (9,2), (16,2), (5,1), (0,2), (9,1), (14,2), (21,1), (19,1), (8,2), (18,1), (7,1), (20,1), (12,2), (11,2), (17,2), (10,1), (1,1), (7,2), (15,2), (16,1), (3,2)) ((15,1), (11,1), (8,1), (2,2), (0,1)) ((20,2), (1,2), (21,2), (19,2), (22,1))
OP(38,4,3,3);0;Solved;0.5369;1.1730;false;false;15;1.8126;(\infty_1, (20,1), \infty_2, (5,2), (11,1), (22,2), (12,1), (17,2), (14,1), (19,1), (4,1), (13,1), (17,1), (18,2), (10,2), (12,2), (6,2), (13,2), (16,2), (10,1), (21,1), (8,1), (21,2), (1,1), (7,1), (11,2), (1,2), (2,1), (0,1), (0,2), (9,2), (4,2), (9,1), (6,1), (20,2), (19,2), (3,1), (15,2)) ((16,1), (15,1), (22,1), (8,2)) ((18,1), (2,2), (14,2)) ((7,2), (3,2), (5,1))
OP(37,8,3);0;Solved;0.5369;0.4380;false;false;20;1.0675;(\infty_1, (5,1), \infty_2, (8,2), (14,1), (2,2), (11,1), (3,2), (2,1), (7,1), (15,1), (12,1), (1,1), (20,2), (15,2), (22,2), (7,2), (18,2), (1,2), (16,1), (9,2), (20,1), (4,2), (21,1), (0,1), (21,2), (17,1), (8,1), (4,1), (6,2), (16,2), (12,2), (13,1), (6,1), (11,2), (14,2), (13,2)) ((17,2), (22,1), (9,1), (3,1), (0,2), (10,1), (10,2), (19,2)) ((5,2), (18,1), (19,1))
